LotArea,YearBuilt,OverallQual,Neighborhood,SalePrice,Predicted_Price,Value_Gap
10200,1925,4,IDOTRR,75000,99761.12,24761.1171875
8472,1963,5,IDOTRR,110000,151856.53,41856.53125
11332,1960,5,NAmes,153000,132526.22,-20473.78125
8398,1967,5,Sawyer,134500,132515.83,-1984.171875
11850,1984,6,NWAmes,151500,165412.42,13912.421875
11067,1939,2,IDOTRR,68104,45995.57,-22108.4296875
1680,1971,6,BrDale,89500,95885.31,6385.3125
9750,2000,7,CollgCr,213000,222739.94,9739.9375
7540,1978,6,Mitchel,156000,149726.86,-6273.140625
1533,1970,4,MeadowV,106500,83322.13,-23177.8671875
7500,2006,7,SawyerW,152000,156704.02,4704.015625
10237,2006,7,Gilbert,169985,186789.3,16804.296875
13774,1977,7,NWAmes,230000,203632.55,-26367.453125
1680,1971,6,BrDale,91500,95885.31,4385.3125
8094,1915,6,OldTown,155000,165034.52,10034.515625
12172,1940,5,NAmes,138500,132407.81,-6092.1875
9840,1959,5,NAmes,185000,141149.14,-43850.859375
11354,2000,7,CollgCr,270000,224440.53,-45559.46875
8800,1964,6,NAmes,224500,154528.34,-69971.65625
8246,1968,5,Sawyer,154000,131240.5,-22759.5
9492,1941,5,NAmes,105000,130778.75,25778.75
10859,1994,5,CollgCr,145000,153225.14,8225.140625
50271,1981,9,Veenker,385000,356420.6,-28579.40625
7200,1950,5,NAmes,129000,111886.25,-17113.75
2280,1999,7,Somerst,179400,162838.42,-16561.578125
12852,2007,8,Timber,264966,270399.4,5433.40625
16492,1966,6,NAmes,190000,209055.38,19055.375
11250,1977,6,Veenker,165000,202740.62,37740.625
10200,1970,5,Sawyer,144000,162363.16,18363.15625
10400,2001,7,CollgCr,230500,225063.33,-5436.671875
12320,1932,7,Crawfor,199500,265274.75,65774.75
17597,1971,7,Crawfor,315000,298183.3,-16816.6875
11929,1995,8,NoRidge,290000,269322.1,-20677.90625
11830,2007,8,Somerst,260261,259215.03,-1045.96875
8280,1950,6,NAmes,124000,132994.9,8994.90625
10320,1915,5,IDOTRR,120000,98041.48,-21958.5234375
10790,1998,7,NoRidge,252000,284416.25,32416.25
1890,1976,4,MeadowV,75190,91457.96,16267.9609375
3675,2005,6,Edwards,140000,144079.11,4079.109375
7175,1991,6,SawyerW,151000,172715.31,21715.3125
8520,1923,5,OldTown,100000,102432.25,2432.25
9591,2004,8,NridgHt,274900,287114.25,12214.25
7500,1947,6,NAmes,127000,125356.75,-1643.25
3515,2004,7,Somerst,190000,170471.86,-19528.140625
9216,1975,5,CollgCr,143195,135158.3,-8036.703125
10410,1915,3,OldTown,105000,127882.12,22882.1171875
4435,2003,6,CollgCr,143750,145049.25,1299.25
4043,1977,6,NPkVill,127500,143481.19,15981.1875
6240,1930,5,BrkSide,138400,115473.65,-22926.3515625
10382,1973,7,NWAmes,200000,167251.25,-32748.75
14000,1996,7,ClearCr,328000,209999.58,-118000.421875
2117,2000,6,Somerst,177000,174061.25,-2938.75
7801,1951,6,Crawfor,104000,193072.22,89072.21875
8154,1941,2,IDOTRR,82000,43013.145,-38986.85546875
9649,1999,6,Gilbert,185000,189880.38,4880.375
10927,2005,8,NridgHt,275000,274616.2,-383.8125
7200,1915,6,OldTown,155500,150679.19,-4820.8125
13159,2009,7,Timber,224500,231985.53,7485.53125
12712,1973,6,Sawyer,147000,168128.2,21128.203125
9350,1946,6,Edwards,154400,133149.1,-21250.90625
12160,1953,6,NAmes,149500,147143.88,-2356.125
10800,1963,6,NWAmes,127000,175549.92,48549.921875
12438,2006,8,StoneBr,361919,380126.66,18207.65625
8965,2003,7,Gilbert,192000,176051.28,-15948.71875
8400,1940,6,SWISU,140000,144406.1,4406.09375
7082,1916,5,SWISU,160000,140168.89,-19831.109375
7800,1965,5,SawyerW,119900,119767.85,-132.1484375
9906,1925,4,OldTown,107000,113167.08,6167.078125
8121,2000,6,Gilbert,172400,199385.5,26985.5
4224,1975,5,MeadowV,124000,131076.92,7076.921875
8212,1914,3,Edwards,58500,66617.625,8117.625
7627,1920,4,OldTown,94550,118148.96,23598.9609375
9900,1993,7,NoRidge,260000,283637.22,23637.21875
9320,1959,4,NAmes,128950,128889.59,-60.40625
11851,1990,7,Gilbert,180500,177120.58,-3379.421875
2179,1976,6,NPkVill,144000,145548.2,1548.203125
9079,1961,5,Sawyer,122000,134418.72,12418.71875
4571,1910,5,OldTown,114000,93809.46,-20190.5390625
8281,1965,5,Sawyer,62383,135327.66,72944.65625
7200,1925,6,IDOTRR,127500,127285.914,-214.0859375
7288,1925,5,IDOTRR,129850,107658.42,-22191.578125
12508,1940,6,Mitchel,160000,145672.16,-14327.84375
11070,1991,5,Mitchel,152000,119729.08,-32270.921875
3784,2006,8,Somerst,193800,201315.25,7515.25
1782,1980,6,Blueste,123900,141590.31,17690.3125
6000,1924,5,BrkSide,119000,104942.414,-14057.5859375
10004,1964,6,NAmes,167000,162797.73,-4202.265625
14778,1954,6,Crawfor,224000,205608.69,-18391.3125
9825,1967,5,Edwards,118500,148030.6,29530.59375
2645,1999,8,Somerst,172500,182867.73,10367.734375
